Unnamed: 0,ROUGE-1,ROUGE-2,ROUGE-L,Response Length,Topsis Score,Rank
microsoft/DialoGPT-medium,0.2152950558213716,0.0993406593406593,0.2152950558213716,6.2,0.7214038299441085,2.0
Pi3141/DialoGPT-medium-elon-2,0.2014599779305662,0.0916666666666666,0.2014599779305662,7.6,0.5450261999478571,3.0
0xDEADBEA7/DialoGPT-small-rick,0.2074003189792663,0.0942986425339366,0.2074003189792663,6.6,0.7331675146710225,1.0
satvikag/chatbot,0.2034365634365634,0.0832748538011695,0.2034365634365634,8.8,0.39865208426850435,4.0
microsoft/DialoGPT-large,0.1861143454246902,0.0855840455840455,0.1861143454246902,9.4,0.24821643569064641,5.0
