,ROUGE-1,ROUGE-2,ROUGE-L,Response Length
microsoft/DialoGPT-medium,0.2152950558213716,0.09934065934065935,0.2152950558213716,6.2
Pi3141/DialoGPT-medium-elon-2,0.2014599779305662,0.09166666666666665,0.2014599779305662,7.6
0xDEADBEA7/DialoGPT-small-rick,0.20740031897926636,0.09429864253393665,0.20740031897926636,6.6
satvikag/chatbot,0.20343656343656344,0.08327485380116958,0.20343656343656344,8.8
microsoft/DialoGPT-large,0.18611434542469024,0.08558404558404557,0.18611434542469024,9.4
